ASXcode,ListedInvestmentName,Category
ARB,ARB CORPORATION LIMITED.,Automobiles & Components
GUD,G.U.D. HOLDINGS LIMITED,Automobiles & Components
ATL,APOLLO TOURISM & LEISURE LTD,Automobiles & Components
PWH,PWR HOLDINGS LIMITED,Automobiles & Components
SFC,SCHAFFER CORPORATION LIMITED,Automobiles & Components
ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,Banks
CBA,COMMONWEALTH BANK OF AUSTRALIA.,Banks
NAB,NATIONAL AUSTRALIA BANK LIMITED,Banks
WBC,WESTPAC BANKING CORPORATION,Banks
AFG,AUSTRALIAN FINANCE GROUP LTD,Banks
BEN,BENDIGO AND ADELAIDE BANK LIMITED,Banks
BOQ,BANK OF QUEENSLAND LIMITED.,Banks
CYB,CYBG PLC,Banks
GMA,GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED,Banks
ABA,AUSWIDE BANK LTD,Banks
MOC,MORTGAGE CHOICE LIMITED,Banks
MYS,MYSTATE LIMITED,Banks
RMC,RESIMAC GROUP LTD,Banks
CIM,CIMIC GROUP LIMITED,Capital Goods
ASB,AUSTAL LIMITED,Capital Goods
CDD,CARDNO LIMITED,Capital Goods
EHL,EMECO HOLDINGS LIMITED,Capital Goods
EOS,ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,Capital Goods
GWA,GWA GROUP LIMITED.,Capital Goods
MND,MONADELPHOUS GROUP LIMITED,Capital Goods
NWH,NRW HOLDINGS LIMITED,Capital Goods
REH,REECE LIMITED,Capital Goods
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,Capital Goods
SSM,SERVICE STREAM LIMITED,Capital Goods
SST,STEAMSHIPS TRADING COMPANY LIMITED,Capital Goods
SVW,SEVEN GROUP HOLDINGS LIMITED,Capital Goods
AJL,AJ LUCAS GROUP LIMITED,Capital Goods
DCG,DECMIL GROUP LIMITED,Capital Goods
EGN,ENGENCO LIMITED,Capital Goods
FBR,FBR LTD,Capital Goods
FLC,FLUENCE CORPORATION LIMITED,Capital Goods
JLG,JOHNS LYNG GROUP LIMITED,Capital Goods
LYL,LYCOPODIUM LIMITED,Capital Goods
SRG,SRG GLOBAL LIMITED,Capital Goods
SXE,SOUTHERN CROSS ELECTRICAL ENGINEERING LTD,Capital Goods
BXB,BRAMBLES LIMITED,Commercial & Professional Services
ALQ,ALS LIMITED,Commercial & Professional Services
AMA,AMA GROUP LIMITED,Commercial & Professional Services
BIN,BINGO INDUSTRIES LIMITED,Commercial & Professional Services
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,Commercial & Professional Services
DOW,DOWNER EDI LIMITED,Commercial & Professional Services
IPH,IPH LIMITED,Commercial & Professional Services
MMS,MCMILLAN SHAKESPEARE LIMITED,Commercial & Professional Services
NEA,NEARMAP LTD,Commercial & Professional Services
PET,PHOSLOCK ENVIRONMENTAL TECHNOLOGIES LIMITED,Commercial & Professional Services
SEK,SEEK LIMITED,Commercial & Professional Services
SGF,SG FLEET GROUP LIMITED,Commercial & Professional Services
SIQ,SMARTGROUP CORPORATION LTD,Commercial & Professional Services
A2B,A2B AUSTRALIA LIMITED,Commercial & Professional Services
CLQ,CLEAN TEQ HOLDINGS LIMITED,Commercial & Professional Services
FLN,FREELANCER LIMITED,Commercial & Professional Services
PPE,PEOPLE INFRASTRUCTURE LTD,Commercial & Professional Services
